Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"dotnet.exe",505,0,100.00,0.00,"",
0,"Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain",160,2,31.68,0.40,"Newtonsoft.Json.dll",
1,"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",158,51,31.29,10.10,"Newtonsoft.Json.dll",
2,"[System.Private.CoreLib.dll]",58,58,11.49,11.49,"System.Private.CoreLib.dll",
2,"[coreclr.dll]",24,24,4.75,4.75,"coreclr.dll",
2,"Newtonsoft.Json.Linq.JsonPath.JPath.ParseArrayIndexer",9,6,1.78,1.19,"Newtonsoft.Json.dll",
3,"Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace",3,3,0.59,0.59,"Newtonsoft.Json.dll",
2,"Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer",9,4,1.78,0.79,"Newtonsoft.Json.dll",
3,"Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace",4,4,0.79,0.79,"Newtonsoft.Json.dll",
3,"Newtonsoft.Json.Linq.JsonPath.JPath.EnsureLength",1,1,0.20,0.20,"Newtonsoft.Json.dll",
2,"Newtonsoft.Json.Linq.JsonPath.JPath.CreatePathFilter",7,3,1.39,0.59,"Newtonsoft.Json.dll",
3,"[coreclr.dll]",4,4,0.79,0.79,"coreclr.dll",
0,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",103,3,20.40,0.59,"Newtonsoft.Json.dll",
1,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",87,0,17.23,0.00,"Newtonsoft.Json.dll",
2,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",45,2,8.91,0.40,"Newtonsoft.Json.dll",
3,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",23,0,4.55,0.00,"Newtonsoft.Json.dll",
4,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",13,1,2.57,0.20,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",8,0,1.58,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",5,0,0.99,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",3,0,0.59,0.00,"Newtonsoft.Json.dll",
8,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
9,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",2,1,0.40,0.20,"Newtonsoft.Json.dll",
10,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,1,0.20,0.20,"Newtonsoft.Json.dll",
8,"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
9,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
10,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
11,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
12,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
7,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
8,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
9,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",1,0,0.20,0.00,"Newtonsoft.Json.dll",
10,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
8,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,1,0.20,0.20,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
8,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
9,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
10,"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",2,1,0.40,0.20,"Newtonsoft.Json.dll",
11,"[System.Private.CoreLib.dll]",1,1,0.20,0.20,"System.Private.CoreLib.dll",
6,"Newtonsoft.Json.Linq.JArray.GetEnumerator",1,0,0.20,0.00,"Newtonsoft.Json.dll",
7,"Newtonsoft.Json.Linq.JContainer.Children",1,1,0.20,0.20,"Newtonsoft.Json.dll",
5,"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
6,"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",2,0,0.40,0.00,"Newtonsoft.Json.dll",
