Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[coreclr.dll]","[coreclr.dll]",255,253,50.50,50.10,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonReader.Pop",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonReader.Push",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonSerializer..ctor",4,0,0.79,0.00,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonSerializer.GetMatchingConverter",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonSerializer.SerializeInternal",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.MatchValueWithTrailingSeparator",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParseNull",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParseObject",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParsePostValue",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParseProperty",5,5,0.99,0.99,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParseValue",9,9,1.78,1.78,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.Read",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ReadData",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ReadNumberIntoBuffer",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ReadStringIntoBuffer",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextWriter.WriteEscapedString",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextWriter.WriteStartObject",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter..cctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter..ctor",6,0,1.19,0.00,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter.AutoComplete",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter.AutoCompleteAll",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter.AutoCompleteClose",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter.BuildStateArray",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.Extensions+<Convert>d__14`2[System.__Canon,System.__Canon].MoveNext",1,1,0.20,0.20,
