Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[coreclr.dll]",133,26.34,0x7FF97B8B3135,0,0,0,0,
"[System.Private.CoreLib.dll]",19,3.76,0x7FF9776F5D53,0,0,0,0,
"[coreclr.dll]",16,3.17,0x7FF97B7DB546,0,0,0,0,
"[System.Private.CoreLib.dll]",15,2.97,0x7FF97771E1EE,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",12,2.38,0x7FF91BDC3904,0,0,0,0,
"[coreclr.dll]",10,1.98,0x7FF97B8B28FE,0,0,0,0,
"[System.Private.CoreLib.dll]",8,1.58,0x7FF97771E1FF,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",7,1.39,0x7FF91BDBE417,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",7,1.39,0x7FF91BDC3F5E,0,0,0,0,
"[coreclr.dll]",6,1.19,0x7FF97B8B3AEA,0,0,0,0,
"[System.Private.CoreLib.dll]",6,1.19,0x7FF9777F4D47,0,0,0,0,
"[coreclr.dll]",5,0.99,0x7FF97B89A0DD,0,0,0,0,
"[System.Private.CoreLib.dll]",5,0.99,0x7FF9777F4D42,0,0,0,0,
"[coreclr.dll]",4,0.79,0x7FF97B8B2730,0,0,0,0,
"[coreclr.dll]",3,0.59,0x7FF97B8B2746,0,0,0,0,
"[coreclr.dll]",3,0.59,0x7FF97B8B2754,0,0,0,0,
"[coreclr.dll]",3,0.59,0x7FF97B8B2758,0,0,0,0,
"[coreclr.dll]",3,0.59,0x7FF97B8B4313,0,0,0,0,
"[System.Private.CoreLib.dll]",3,0.59,0x7FF97771E1F1,0,0,0,0,
"[System.Private.CoreLib.dll]",3,0.59,0x7FF97771EBD8,0,0,0,0,
"[System.Private.CoreLib.dll]",3,0.59,0x7FF9777F4D10,0,0,0,0,
"[System.Private.CoreLib.dll]",3,0.59,0x7FF9777F4D54,0,0,0,0,
"Newtonsoft.Json.JsonWriter.BuildStateArray",3,0.59,0x7FF91BDC9041,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter",3,0.59,0x7FF91BDC3750,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",3,0.59,0x7FF91BDBE8FC,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace",3,0.59,0x7FF91BDBE14F,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",3,0.59,0x7FF91BDBE6EF,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",3,0.59,0x7FF91BDBE1CC,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",3,0.59,0x7FF91BDBE1DE,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",3,0.59,0x7FF91BDBE219,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",3,0.59,0x7FF91BDBE232,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",3,0.59,0x7FF91BDBE316,0,0,0,0,
"Newtonsoft.Json.Utilities.JavaScriptUtils..cctor",3,0.59,0x7FF91BDDC385,0,0,0,0,
"[coreclr.dll]",2,0.40,0x7FF97B86940E,0,0,0,0,
"[coreclr.dll]",2,0.40,0x7FF97B891AB9,0,0,0,0,
"[coreclr.dll]",2,0.40,0x7FF97B8B24DA,0,0,0,0,
"[coreclr.dll]",2,0.40,0x7FF97B8B2733,0,0,0,0,
"[coreclr.dll]",2,0.40,0x7FF97B8B2745,0,0,0,0,
"[coreclr.dll]",2,0.40,0x7FF97B8B42F0,0,0,0,0,
"[coreclr.dll]",2,0.40,0x7FF97B8B4300,0,0,0,0,
"[System.Private.CoreLib.dll]",2,0.40,0x7FF9776F5CC1,0,0,0,0,
"[System.Private.CoreLib.dll]",2,0.40,0x7FF9776F5D3F,0,0,0,0,
"[System.Private.CoreLib.dll]",2,0.40,0x7FF9776F60D3,0,0,0,0,
"[System.Private.CoreLib.dll]",2,0.40,0x7FF97771EBB5,0,0,0,0,
"[System.Private.CoreLib.dll]",2,0.40,0x7FF9777F4D30,0,0,0,0,
"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",2,0.40,0x7FF91BDC280B,0,0,0,0,
"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",2,0.40,0x7FF91BDC28AF,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter",2,0.40,0x7FF91BDBE76F,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace",2,0.40,0x7FF91BDBE140,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParseArrayIndexer",2,0.40,0x7FF91BDC2F34,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer",2,0.40,0x7FF91BDC2A44,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",2,0.40,0x7FF91BDBE1DB,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",2,0.40,0x7FF91BDBE1E4,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",2,0.40,0x7FF91BDBE213,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",2,0.40,0x7FF91BDBE2C6,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",2,0.40,0x7FF91BDBE402,0,0,0,0,
"Newtonsoft.Json.Serialization.JsonPrimitiveContract..cctor",2,0.40,0x7FF91BDCE5E2,0,0,0,0,
"Newtonsoft.Json.Utilities.ConvertUtils..cctor",2,0.40,0x7FF91BDCC4A8,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B7F1A20,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B869403,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B86D2FF,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B891AB0,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2490,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B24B9,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B24C7,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B24CC,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B24DE,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2700,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2710,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2736,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2740,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2750,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B275A,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2770,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2820,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2826,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B288F,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B28B0,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B28E4,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B28EE,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B2903,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B3A21,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B4304,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B4310,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B444D,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B445E,0,0,0,0,
"[coreclr.dll]",1,0.20,0x7FF97B8B4480,0,0,0,0,
"[System.Linq.dll]",1,0.20,0x7FF9A3EB70C1,0,0,0,0,
"[System.Linq.dll]",1,0.20,0x7FF9A3EC333D,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9776F1492,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9776F14A4,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9776F5CC2,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9776F5D28,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9776F5D32,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9776F5D67,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9776F5D77,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF97771EC05,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF977756340,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9777A8E76,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9777F4D11,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9777F4D15,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9777F4D35,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9777F4D5C,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9777F4D62,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF97787C955,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF97794A257,0,0,0,0,
"[System.Private.CoreLib.dll]",1,0.20,0x7FF9779DCDF0,0,0,0,0,
"Newtonsoft.Json.JsonWriter..cctor",1,0.20,0x7FF91BDC8F7D,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer.Children",1,0.20,0x7FF91BDC1060,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer.get_First",1,0.20,0x7FF91BDC4374,0,0,0,0,
"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,0.20,0x7FF91BDC27F2,0,0,0,0,
"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,0.20,0x7FF91BDC2800,0,0,0,0,
"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,0.20,0x7FF91BDC2854,0,0,0,0,
"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",1,0.20,0x7FF91BDC28C0,0,0,0,0,
