Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[coreclr.dll]",229,45.35,255,50.50,0,0,0,0,
"[System.Private.CoreLib.dll]",93,18.42,93,18.42,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",51,10.10,158,31.29,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",16,3.17,84,16.63,0,0,0,0,
"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",12,2.38,26,5.15,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.MoveNext",11,2.18,65,12.87,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",10,1.98,70,13.86,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.EatWhitespace",7,1.39,7,1.39,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter",6,1.19,14,2.77,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",6,1.19,103,20.40,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParseArrayIndexer",6,1.19,9,1.78,0,0,0,0,
"Newtonsoft.Json.Utilities.JavaScriptUtils..cctor",5,0.99,6,1.19,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter",4,0.79,16,3.17,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",4,0.79,7,1.39,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParseIndexer",4,0.79,9,1.78,0,0,0,0,
"Newtonsoft.Json.Utilities.ConvertUtils..cctor",4,0.79,5,0.99,0,0,0,0,
"Newtonsoft.Json.JsonWriter.BuildStateArray",3,0.59,5,0.99,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",3,0.59,4,0.79,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.CreatePathFilter",3,0.59,7,1.39,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ScanFilter.ExecuteFilter",3,0.59,6,1.19,0,0,0,0,
"Newtonsoft.Json.Serialization.JsonPrimitiveContract..cctor",3,0.59,3,0.59,0,0,0,0,
"[System.Linq.dll]",2,0.40,2,0.40,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain",2,0.40,162,32.08,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ScanFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",2,0.40,2,0.40,0,0,0,0,
"Newtonsoft.Json.JsonWriter..cctor",1,0.20,6,1.19,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer.Children",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer.get_First",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,Newtonsoft.Json.Linq.JToken>>.get_Current",1,0.20,3,0.59,0,0,0,0,
"Newtonsoft.Json.Linq.JPropertyKeyedCollection.InsertItem",1,0.20,2,0.40,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.IDisposable.Dispose",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.IDisposable.Dispose",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath.EnsureLength",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.Serialization.CachedAttributeGetter`1[System.__Canon]..cctor",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver..ctor",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultSerializationBinder..cctor",1,0.20,3,0.59,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultSerializationBinder..ctor",1,0.20,2,0.40,0,0,0,0,
"Newtonsoft.Json.Utilities.CollectionUtils.ArrayEmpty",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.Utilities.EnumUtils.GetValues",1,0.20,2,0.40,0,0,0,0,
"Newtonsoft.Json.Utilities.ThreadSafeStore`2[Newtonsoft.Json.Utilities.ConvertUtils+TypeConvertKey,System.__Canon]..ctor",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.Utilities.ThreadSafeStore`2[Newtonsoft.Json.Utilities.TypeNameKey,System.__Canon]..ctor",1,0.20,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonReader.Pop",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonReader.Push",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonReader.ValidateEnd",0,0.00,1,0.20,0,0,0,0,
